City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,12.65,68,58,1.79,PT,1680493777
1,port alfred,-33.5906,26.891,18.43,88,100,0.89,ZA,1680493778
2,ushuaia,-54.8,-68.3,11.81,43,20,3.6,AR,1680493778
3,san pedro,14.35,121.0167,33.51,58,20,1.54,PH,1680493778
4,hasaki,35.7333,140.8333,14.22,53,21,9.31,JP,1680493484
5,georgetown,5.4112,100.3354,26.96,94,20,3.6,MY,1680493499
6,semirara,12.0697,121.3986,27.23,78,86,7.47,PH,1680493778
7,carnarvon,-24.8667,113.6333,25.28,71,97,4.05,AU,1680493778
8,salinopolis,-0.6136,-47.3561,25.17,83,96,3.76,BR,1680493778
9,simplicio mendes,-7.8539,-41.9103,21.6,77,99,0.81,BR,1680493778
10,sulangan,11.1373,123.7228,27.21,71,76,3.73,PH,1680493778
11,rikitea,-23.1203,-134.9692,26.65,81,78,6.38,PF,1680493779
12,adrar,20.5022,-10.0711,22.48,6,0,3.14,MR,1680493779
13,port hardy,50.6996,-127.4199,6.0,75,75,3.09,CA,1680493779
14,dingle,10.9995,122.6711,32.13,48,46,4.66,PH,1680493779
15,lusambo,-4.9667,23.45,20.24,98,99,0.58,CD,1680493779
16,castro,-24.7911,-50.0119,13.13,99,18,2.99,BR,1680493780
17,asosa,10.0667,34.5333,19.23,17,19,2.88,ET,1680493780
18,barrow,71.2906,-156.7887,-14.99,78,100,5.66,US,1680493780
19,saint-philippe,-21.3585,55.7679,24.77,72,55,1.98,RE,1680493780
20,atuona,-9.8,-139.0333,27.28,78,87,6.36,PF,1680493780
21,bathsheba,13.2167,-59.5167,26.34,73,20,8.75,BB,1680493780
22,la palma,33.8464,-118.0467,15.5,81,0,1.34,US,1680493491
23,punta arenas,-53.15,-70.9167,9.06,66,75,5.14,CL,1680493781
24,hobart,-42.8794,147.3294,20.59,53,75,3.09,AU,1680493686
25,tautira,-17.7333,-149.15,27.49,74,100,3.0,PF,1680493781
26,monrovia,6.3005,-10.7969,25.98,87,5,2.34,LR,1680493529
27,gorontalo,0.5412,123.0595,31.69,57,100,1.66,ID,1680493781
28,iqaluit,63.7506,-68.5145,-14.15,61,75,5.14,CA,1680493781
29,mar del plata,-38.0023,-57.5575,17.83,70,0,2.57,AR,1680493781
30,raymond,43.9015,-70.4703,-0.55,50,38,1.14,US,1680493781
31,san cristobal,7.7669,-72.225,20.1,91,61,1.1,VE,1680493782
32,pevek,69.7008,170.3133,-24.67,90,95,1.04,RU,1680493782
33,baruun-urt,46.6806,113.2792,-4.83,32,59,3.84,MN,1680493782
34,lennestadt,51.1167,8.0667,1.06,93,8,1.88,DE,1680493782
35,eirunepe,-6.6603,-69.8736,21.89,99,85,1.06,BR,1680493782
36,poronaysk,49.2167,143.1167,2.93,77,5,3.78,RU,1680493782
37,puerto ayora,-0.7393,-90.3518,26.42,94,76,0.89,EC,1680493782
38,corning,42.1428,-77.0547,0.98,68,0,0.0,US,1680493783
39,nisia floresta,-6.0911,-35.2086,25.21,85,65,1.61,BR,1680493783
40,longyearbyen,78.2186,15.6401,-8.09,86,100,7.2,SJ,1680493783
41,eldorado,-23.7869,-54.2836,21.16,89,0,1.87,BR,1680493783
42,mataura,-46.1927,168.8643,14.71,44,38,0.97,NZ,1680493783
43,avera,33.194,-82.5271,11.73,47,83,1.4,US,1680493783
44,santona,43.4439,-3.4576,8.93,84,4,2.27,ES,1680493783
45,namatanai,-3.6667,152.4333,29.36,69,45,2.44,PG,1680493783
46,koraput,18.8167,82.7167,28.48,29,6,2.08,IN,1680493784
47,kapaa,22.0752,-159.319,24.18,85,0,5.66,US,1680493784
48,warman,52.3168,-106.5679,-8.05,86,100,6.69,CA,1680493784
49,butaritari,3.0707,172.7902,28.15,74,100,4.95,KI,1680493784
50,jamestown,42.097,-79.2353,1.8,51,100,2.57,US,1680493574
51,mumford,5.2618,-0.759,26.08,84,56,2.97,GH,1680493784
52,cherskiy,68.75,161.3,-21.35,82,8,2.62,RU,1680493784
53,albany,42.6001,-73.9662,0.29,45,54,1.16,US,1680493784
54,talnakh,69.4865,88.3972,-12.46,92,100,4.63,RU,1680493785
55,pisco,-13.7,-76.2167,24.03,88,40,4.63,PE,1680493785
56,hermanus,-34.4187,19.2345,17.67,93,48,3.73,ZA,1680493785
57,ust-uda,54.1742,103.0304,-5.14,49,37,3.45,RU,1680493785
58,kachug,53.9606,105.8817,-6.51,50,81,4.12,RU,1680493785
59,codrington,-38.2667,141.9667,18.09,57,54,5.85,AU,1680493785
60,santa rosa,14.3122,121.1114,33.94,46,69,4.03,PH,1680493749
61,hithadhoo,-0.6,73.0833,27.95,68,31,2.76,MV,1680493785
62,nuuk,64.1835,-51.7216,-6.91,68,1,5.36,GL,1680493785
63,japura,-0.3167,102.35,28.1,72,100,2.18,ID,1680493785
64,busselton,-33.65,115.3333,23.94,51,18,2.42,AU,1680493785
65,hervey bay,-25.2986,152.8535,24.74,64,91,5.66,AU,1680493785
66,coihaique,-45.5752,-72.0662,8.97,81,100,2.57,CL,1680493785
67,fort nelson,58.8053,-122.7002,-2.23,59,75,1.03,CA,1680493785
68,caravelas,-17.7125,-39.2481,23.52,91,68,4.11,BR,1680493785
69,mae hong son,19.3003,97.9685,31.08,45,1,2.06,TH,1680493785
70,pilar,-9.5972,-35.9567,22.96,92,82,0.71,BR,1680493785
71,upernavik,72.7868,-56.1549,-29.75,98,20,1.5,GL,1680493785
72,guerrero negro,27.9769,-114.0611,14.06,77,32,7.7,MX,1680493785
73,mecca,21.4267,39.8261,21.51,51,60,1.15,SA,1680493786
74,saskylakh,71.9167,114.0833,-6.46,93,100,1.61,RU,1680493786
75,rocha,-34.4833,-54.3333,16.72,69,63,2.48,UY,1680493766
76,zyryanka,65.75,150.85,-11.84,75,6,6.09,RU,1680493786
77,chimore,-16.9833,-65.1333,24.7,77,99,0.65,BO,1680493786
78,usinsk,65.9939,57.5281,-11.96,82,5,3.28,RU,1680493786
79,hilo,19.7297,-155.09,23.47,96,100,0.89,US,1680493666
80,hambantota,6.1241,81.1185,30.19,79,40,1.03,LK,1680493786
81,ixtapa,20.7,-105.2,23.46,87,73,1.16,MX,1680493786
82,cape town,-33.9258,18.4232,19.65,85,75,3.09,ZA,1680493711
83,cidreira,-30.1811,-50.2056,20.28,71,11,5.35,BR,1680493786
84,college,64.8569,-147.8028,-0.79,65,75,4.12,US,1680493786
85,san quintin,30.4833,-115.95,13.28,88,0,6.88,MX,1680493786
86,inhambane,-23.865,35.3833,20.0,93,75,1.36,MZ,1680493787
87,akcakoca,41.0866,31.1162,12.23,85,100,2.37,TR,1680493787
88,pangnirtung,66.1451,-65.7125,-17.32,66,100,3.13,CA,1680493787
89,lompoc,34.6391,-120.4579,11.12,80,0,7.72,US,1680493755
90,avarua,-21.2078,-159.775,26.03,69,75,5.14,CK,1680493787
91,sorsk,54.0033,90.2467,-4.06,50,100,2.61,RU,1680493787
92,port blair,11.6667,92.75,29.02,70,40,3.09,IN,1680493787
93,vardo,70.3705,31.1107,-5.01,86,95,6.69,NO,1680493787
94,imbituba,-28.24,-48.6703,20.08,69,88,1.4,BR,1680493787
95,rio gallegos,-51.6226,-69.2181,9.03,66,0,5.14,AR,1680493712
96,pokrovsk,48.282,37.1758,7.0,91,100,5.75,UA,1680493787
97,kodiak,57.79,-152.4072,3.73,45,0,3.09,US,1680493514
98,valjevo,44.2751,19.8982,4.89,93,100,4.72,RS,1680493788
99,trelew,-43.249,-65.3051,13.47,75,1,5.11,AR,1680493510
100,faanui,-16.4833,-151.75,28.24,70,98,2.85,PF,1680493788
101,kavieng,-2.5744,150.7967,29.66,66,93,4.29,PG,1680493788
102,nikolskoye,59.7035,30.7861,-2.06,95,100,5.18,RU,1680493788
103,souillac,-20.5167,57.5167,24.21,94,75,3.6,MU,1680493788
104,kattivakkam,13.2167,80.3167,32.05,79,10,5.2,IN,1680493788
105,coahuayana,18.7333,-103.6833,21.66,87,78,1.11,MX,1680493788
106,novyye burasy,52.1324,46.0714,6.01,65,63,1.7,RU,1680493788
107,mayya,61.7333,130.2811,-6.38,76,51,2.37,RU,1680493789
108,yuli,9.6989,10.2744,24.25,13,54,2.27,NG,1680493789
109,mackenzie,55.2999,-123.1698,0.12,64,0,3.6,CA,1680493529
110,laguna,38.421,-121.4238,12.16,72,75,6.17,US,1680493789
111,angouleme,45.65,0.15,6.69,89,0,2.57,FR,1680493568
112,pathein,16.7833,94.7333,33.26,42,16,5.28,MM,1680493789
113,the valley,18.217,-63.0578,25.92,71,3,9.62,AI,1680493789
114,katsuura,35.1333,140.3,16.01,56,68,9.63,JP,1680493789
115,mount gambier,-37.8333,140.7667,20.14,41,76,1.74,AU,1680493789
116,bluff,-46.6,168.3333,14.89,54,83,2.68,NZ,1680493789
117,mahibadhoo,3.7833,72.9667,28.0,70,13,3.96,MV,1680493789
118,vaini,-21.2,-175.2,26.05,64,22,5.52,TO,1680493789
119,chuy,-33.6971,-53.4616,17.01,82,71,3.04,UY,1680493789
120,dioknisi,41.6293,42.3917,6.97,96,99,1.23,GE,1680493789
121,goba,7.0167,39.9833,11.23,88,98,0.5,ET,1680493790
122,kavaratti,10.5669,72.642,27.74,69,29,3.64,IN,1680493790
123,bay roberts,47.5999,-53.2648,1.19,87,51,4.02,CA,1680493790
124,klaksvik,62.2266,-6.589,6.51,83,100,7.96,FO,1680493790
125,zhezkazgan,47.8043,67.7144,3.99,28,0,9.0,KZ,1680493790
126,los llanos de aridane,28.6585,-17.9182,16.86,93,100,5.66,ES,1680493790
127,ibra,22.6906,58.5334,25.12,28,19,0.48,OM,1680493790
128,menongue,-14.6585,17.691,15.48,95,97,0.76,AO,1680493790
129,sterling,39.0062,-77.4286,7.53,67,0,0.0,US,1680493624
130,lata,40.1629,-8.3327,7.26,64,59,0.81,PT,1680493790
131,kinel,53.2333,50.65,4.58,66,19,3.55,RU,1680493790
132,vallenar,-28.5708,-70.7581,21.48,63,1,0.64,CL,1680493790
133,boa vista,2.8197,-60.6733,26.99,61,75,4.12,BR,1680493668
134,lasa,46.6166,10.7002,6.49,94,67,3.06,IT,1680493790
135,langsa,4.4683,97.9683,25.91,87,100,1.22,ID,1680493790
136,pingdu,36.7844,119.9464,19.75,25,100,8.69,CN,1680493790
137,fortuna,40.5982,-124.1573,7.03,84,94,2.24,US,1680493791
138,bilibino,68.0546,166.4372,-19.99,83,95,1.24,RU,1680493791
139,husavik,66.0449,-17.3389,-1.09,83,62,4.83,IS,1680493791
140,luganville,-15.5333,167.1667,29.98,69,76,3.81,VU,1680493791
141,paamiut,61.994,-49.6678,-2.2,56,67,4.22,GL,1680493791
142,zhigansk,66.7697,123.3711,-6.47,94,100,10.81,RU,1680493791
143,tasiilaq,65.6145,-37.6368,-1.91,92,92,3.33,GL,1680493791
144,vao,-22.6667,167.4833,26.01,79,17,4.09,NC,1680493791
145,nizhniy chir,48.3597,43.0865,7.51,73,13,0.57,RU,1680493791
146,yellowknife,62.456,-114.3525,-13.71,78,75,1.03,CA,1680493791
147,bambous virieux,-20.3428,57.7575,26.79,94,75,3.6,MU,1680493791
148,marzuq,14.4,46.4667,22.23,65,95,1.29,YE,1680493791
149,qaanaaq,77.484,-69.3632,-26.87,60,0,1.6,GL,1680493791
150,amapa,1.0,-52.0,20.22,99,33,0.75,BR,1680493792
151,russkaya polyana,49.417,31.9201,6.15,94,100,2.69,UA,1680493792
152,coquimbo,-29.9533,-71.3436,14.85,100,0,1.03,CL,1680493666
153,mogadishu,2.0371,45.3438,27.82,77,76,1.8,SO,1680493792
154,kununurra,-15.7667,128.7333,27.99,78,90,1.54,AU,1680493792
155,waitara,-38.925,174.25,17.9,64,8,4.46,NZ,1680493792
156,telbang,16.1722,120.0592,31.66,53,78,2.25,PH,1680493792
157,geraldton,-28.7667,114.6,26.23,57,85,8.23,AU,1680493793
158,flinders,-34.5833,150.8552,23.36,60,16,3.44,AU,1680493793
159,pochutla,15.7432,-96.4661,27.68,75,8,2.72,MX,1680493793
160,carutapera,-1.195,-46.02,23.86,91,99,2.53,BR,1680493793
161,rawson,-43.3002,-65.1023,13.79,74,1,5.67,AR,1680493793
162,new norfolk,-42.7826,147.0587,20.4,51,87,1.34,AU,1680493793
163,ponta do sol,32.6667,-17.1,20.0,79,17,0.67,PT,1680493793
164,bethel,41.3712,-73.414,3.3,46,0,1.54,US,1680493793
165,port hedland,-20.3167,118.5667,33.03,55,40,5.14,AU,1680493793
166,jizan,17.3333,42.6667,25.52,73,57,1.43,SA,1680493793
167,jais,26.25,81.5333,29.41,32,0,2.59,IN,1680493793
168,ferkessedougou,9.6,-5.2,26.98,56,21,2.37,CI,1680493794
169,airai,-8.9266,125.4092,24.15,50,100,0.83,TL,1680493794
170,mareeba,-17.0,145.4333,31.91,66,44,3.15,AU,1680493794
171,lavrentiya,65.5833,-171.0,-13.43,85,99,1.69,RU,1680493794
172,ust-nera,64.5667,143.2,-11.78,81,100,4.13,RU,1680493794
173,atasu,48.6814,71.6433,4.8,26,1,8.61,KZ,1680493794
174,lamu,-2.2717,40.902,26.12,79,90,3.63,KE,1680493794
175,port lincoln,-34.7333,135.8667,20.78,48,2,3.96,AU,1680493794
176,totma,59.9747,42.7642,1.6,100,100,1.29,RU,1680493549
177,puerto escondido,15.85,-97.0667,28.46,69,40,2.57,MX,1680493794
178,dikson,73.5069,80.5464,-29.39,95,56,4.75,RU,1680493794
179,lebu,-37.6167,-73.65,11.3,82,2,6.34,CL,1680493794
180,ketchikan,55.3422,-131.6461,6.26,61,40,0.0,US,1680493795
181,bredasdorp,-34.5322,20.0403,16.62,89,48,3.26,ZA,1680493795
182,athabasca,54.7169,-113.2854,-1.0,94,97,3.04,CA,1680493795
183,arkhangelsk,64.5401,40.5433,-6.94,100,75,3.0,RU,1680493795
184,aklavik,68.2191,-135.0107,-15.13,95,95,0.68,CA,1680493795
185,maniitsoq,65.4167,-52.9,-6.74,58,13,3.22,GL,1680493795
186,vostok,46.4856,135.8833,15.79,41,9,1.41,RU,1680493795
187,bulgan,48.8125,103.5347,-7.45,32,96,1.6,MN,1680493795
188,rennes,48.1667,-1.6667,4.02,93,75,2.57,FR,1680493672
189,cocorit,27.5833,-109.9667,19.11,26,51,2.0,MX,1680493795
190,khatanga,71.9667,102.5,-15.21,93,100,4.38,RU,1680493795
191,nieuw amsterdam,5.8833,-55.0833,25.57,85,92,3.32,SR,1680493795
192,necochea,-38.5473,-58.7368,16.54,68,100,2.19,AR,1680493795
193,yuanping,38.7153,112.7575,9.11,85,100,0.91,CN,1680493795
194,praya,14.9215,-23.5087,23.3,68,0,1.03,CV,1680493795
195,nantucket,41.2835,-70.0995,4.06,44,0,6.17,US,1680493727
196,penzance,50.1186,-5.5371,9.38,87,38,5.78,GB,1680493795
197,provideniya,64.3833,-173.3,-10.91,67,75,5.0,RU,1680493796
198,boddam,57.4667,-1.7833,2.21,76,80,8.47,GB,1680493796
199,upington,-28.4478,21.2561,17.21,45,0,2.57,ZA,1680493796
200,makakilo city,21.3469,-158.0858,25.18,78,100,2.57,US,1680493796
201,koutiala,12.3917,-5.4642,26.77,9,0,3.97,ML,1680493796
202,havelock,34.8791,-76.9013,15.99,79,0,2.06,US,1680493797
203,severo-kurilsk,50.6789,156.125,0.96,84,73,6.35,RU,1680493797
204,manado,1.487,124.8455,31.43,66,40,3.09,ID,1680493797
205,mabaruma,8.2,-59.7833,21.67,98,91,1.12,GY,1680493797
206,saint george,37.1041,-113.5841,19.41,25,0,4.02,US,1680493797
207,yulara,-25.2406,130.9889,30.29,28,1,0.59,AU,1680493797
208,honiara,-9.4333,159.95,30.08,71,34,3.13,SB,1680493797
209,lagoa,39.05,-27.9833,13.94,61,43,7.24,PT,1680493797
210,ancud,-41.8697,-73.8203,9.13,78,0,0.69,CL,1680493797
211,bengkulu,-3.8004,102.2655,28.11,68,100,3.1,ID,1680493798
212,guhagar,17.4842,73.1929,27.61,52,39,2.55,IN,1680493798
213,toccoa,34.5773,-83.3324,13.67,58,0,2.06,US,1680493798
214,viransehir,37.2353,39.7631,9.36,86,84,1.44,TR,1680493798
215,egvekinot,66.3167,-179.1667,-16.61,92,100,0.95,RU,1680493798
216,ginir,7.1333,40.7,15.63,83,100,1.26,ET,1680493798
217,darhan,49.4867,105.9228,-4.45,32,7,3.78,MN,1680493798
218,torbay,47.6666,-52.7314,1.43,90,75,9.26,CA,1680493799
219,san ramon de la nueva oran,-23.1322,-64.326,24.12,77,98,0.43,AR,1680493799
220,kodinar,20.7903,70.7031,26.43,58,2,3.24,IN,1680493740
221,dunedin,-45.8742,170.5036,14.01,59,27,2.2,NZ,1680493611
222,frankfort,-27.2667,28.4833,12.56,74,75,0.6,ZA,1680493799
223,valle de allende,26.9333,-105.4,21.08,14,100,5.81,MX,1680493799
224,wegrow,52.3995,22.0163,-2.44,78,42,6.72,PL,1680493636
225,haines junction,60.7522,-137.5108,-3.03,74,100,1.54,CA,1680493799
226,porto walter,-8.2686,-72.7439,21.74,99,73,1.18,BR,1680493799
227,staryy nadym,65.6118,72.6842,-7.58,83,6,7.02,RU,1680493799
228,naron,43.5167,-8.1528,8.66,71,71,2.8,ES,1680493799
229,port macquarie,-31.4333,152.9167,22.16,85,97,4.01,AU,1680493564
230,marsa matruh,31.3525,27.2453,17.93,39,1,6.44,EG,1680493800
231,ternate,0.8,127.4,28.57,74,71,3.03,ID,1680493800
232,utkivka,49.7858,36.0753,7.9,72,100,5.92,UA,1680493800
233,great yarmouth,52.6083,1.7305,3.01,71,4,5.32,GB,1680493800
234,amravati,20.9333,77.75,31.43,21,27,2.73,IN,1680493800
235,arraial do cabo,-22.9661,-42.0278,24.74,67,100,4.01,BR,1680493800
236,isangel,-19.55,169.2667,28.98,73,30,2.09,VU,1680493801
237,saint anthony,45.0205,-93.218,2.88,80,0,4.12,US,1680493801
238,clyde river,70.4692,-68.5914,-26.87,83,0,2.06,CA,1680493801
239,kemin,42.7846,75.6892,13.37,20,0,4.75,KG,1680493802
240,chokurdakh,70.6333,147.9167,-16.64,86,82,6.05,RU,1680493804
241,albolote,37.2309,-3.6551,10.62,44,0,1.03,ES,1680493804
242,jacareacanga,-6.2222,-57.7528,20.94,100,100,0.35,BR,1680493805
243,beloha,-25.1667,45.05,21.99,86,63,3.51,MG,1680493806
244,tiksi,71.6872,128.8694,-6.67,82,100,11.24,RU,1680493806
245,kyra,49.5776,111.9753,-6.09,43,5,5.54,RU,1680493806
246,gat,31.61,34.7642,15.22,52,0,1.57,IL,1680493620
247,tuktoyaktuk,69.4541,-133.0374,-16.0,78,75,6.17,CA,1680493806
248,kaitangata,-46.2817,169.8464,14.89,57,48,1.28,NZ,1680493807
249,sawakin,19.1059,37.3321,21.96,62,79,3.41,SD,1680493807
250,quepos,9.4236,-84.1652,26.54,76,56,1.12,CR,1680493808
251,kautokeino,69.0125,23.0412,-11.58,93,95,6.02,NO,1680493810
252,kahului,20.8947,-156.47,24.01,80,40,4.12,US,1680493682
253,toma,12.7667,-2.8833,25.82,12,3,3.47,BF,1680493811
254,plettenberg bay,-34.0527,23.3716,18.68,91,88,6.35,ZA,1680493706
255,cabo san lucas,22.8909,-109.9124,24.17,67,40,2.06,MX,1680493676
256,sao filipe,14.8961,-24.4956,23.56,68,7,3.59,CV,1680493811
257,vagamo,61.8751,9.0967,-4.78,89,100,1.3,NO,1680493811
258,lazaro cardenas,17.9583,-102.2,24.2,72,100,1.26,MX,1680493732
259,saldanha,-33.0117,17.9442,17.03,92,71,2.7,ZA,1680493812
260,tuatapere,-46.1333,167.6833,14.6,64,93,1.74,NZ,1680493812
261,bud,39.447,-86.1758,9.99,73,1,3.7,US,1680493812
262,thompson,55.7435,-97.8558,-17.91,60,20,3.09,CA,1680493529
263,port elizabeth,-33.918,25.5701,20.17,84,0,9.26,ZA,1680493812
264,anaconda,46.1285,-112.9423,-2.45,87,82,1.43,US,1680493722
265,omama,36.4333,139.2833,19.28,54,73,2.33,JP,1680493813
266,trapani,37.8333,12.6667,9.6,87,40,1.03,IT,1680493813
267,kulhudhuffushi,6.6221,73.07,28.36,63,53,2.56,MV,1680493814
268,asau,46.4333,26.4,5.71,93,100,0.67,RO,1680493815
269,santa cruz,-17.8,-63.1667,24.7,88,5,1.03,BO,1680493815
270,kiunga,-6.1219,141.2906,26.88,84,90,1.28,PG,1680493816
271,weston,26.1004,-80.3998,27.01,74,0,3.6,US,1680493816
272,cockburn town,21.4612,-71.1419,25.04,73,0,7.6,TC,1680493816
273,margate,51.3813,1.3862,7.05,80,69,1.34,GB,1680493802
274,fairbanks,64.8378,-147.7164,-0.78,66,75,4.12,US,1680493532
275,ostrovnoy,68.0531,39.5131,-10.56,94,96,3.56,RU,1680493816
276,broken hill,-31.95,141.4333,21.77,22,93,0.98,AU,1680493649
